NETGEAR,WIFI 1,Basabeso,Ehab,basant,room
0,0,0,0,0,0
-57,-39,-66,-58,-39,1
-59,-35,0,-60,-35,1
-57,-40,-66,-60,-40,1
-56,-44,-70,0,-44,1
-58,-41,-63,-60,-41,1
-56,-85,-69,-59,-85,1
-59,-51,0,-60,-51,1
-58,-52,-71,-61,-52,1
-57,-45,-75,-61,-45,1
-57,-53,-72,-61,-53,1
-58,-38,-75,-60,-38,1
-56,-38,-76,-61,-38,1
-63,-37,0,-70,-37,1
-61,-45,-66,-71,-45,1
-71,-45,-64,-73,-45,1
-59,-47,-70,-71,-47,1
-61,-56,-69,-72,-56,1
-63,-32,-72,-73,-32,1
-59,-50,0,-66,-50,1
-60,-49,-72,-67,-49,1
-57,-60,-67,-69,-60,1
-57,-33,-71,0,-33,1
-71,-49,-75,0,-49,1
-75,-43,-73,0,-43,1
-67,-57,-68,0,-57,1
-65,-58,-64,-67,-58,1
-66,-63,-71,-63,-63,1
0,-53,-72,-63,-53,1
-68,-55,-69,-64,-55,1
-68,-62,-66,-66,-62,1
-70,-61,-69,-59,-61,1
-69,-60,-70,-62,-60,1
-73,-61,-73,-60,-61,1
-67,-63,-68,-62,-63,1
-77,-53,-72,-71,-53,1
-69,-65,-72,-71,-65,1
-76,-57,-84,-78,-57,1
-72,-56,-71,-68,-56,1
-66,-59,-66,-67,-59,1
-68,-67,-80,-73,-67,1
-65,-57,-72,-74,-57,1
-65,-57,-72,-80,-57,1
-70,-53,-66,-74,-53,1
-63,-52,-71,-64,-52,1
-70,-64,-70,-68,-64,1
-69,-71,-78,-66,-71,1
-73,-75,-71,-68,-75,1
-65,-58,-73,-65,-58,1
-70,-52,-72,-69,-52,1
-77,-61,-69,-63,-61,1
0,-60,-70,-67,-60,1
-69,-49,-76,-72,-49,1
-71,-54,-72,-69,-54,1
-69,-51,-68,-70,-51,1
-77,-51,-68,-64,-51,1
-69,-52,-71,-64,-52,1
-72,-42,-74,-63,-42,1
-72,-60,-69,-67,-60,1
-72,-49,-74,-72,-49,1
-65,-40,-78,-69,-40,1
-74,-54,-74,-85,-54,1
